,ID,Ref,MESH
35,NR_002323,"[24583225, 24373479, 24006935, 22961206, 23346095, 22202438, 24853421, 27791993, 27760046, 27693324, 27658774, 27634385, 27485439, 27460088, 27421138, 27363339, 27362796, 27345398, 27339553, 27339553, 27339553, 27339553, 27339553, 27329359, 27323757, 27261864, 27034068, 26975529, 26913601, 26856330, 26748401, 26499949, 26336870, 26318860, 25366138, 24853421, 24055035, 23725133, 22961206]",Multiple Myeloma
35,NR_002323,"[24583225, 24373479, 24006935, 22961206, 23346095, 22202438, 24853421, 27791993, 27760046, 27693324, 27658774, 27634385, 27485439, 27460088, 27421138, 27363339, 27362796, 27345398, 27339553, 27339553, 27339553, 27339553, 27339553, 27329359, 27323757, 27261864, 27034068, 26975529, 26913601, 26856330, 26748401, 26499949, 26336870, 26318860, 25366138, 24853421, 24055035, 23725133, 22961206]",Kidney Neoplasms
35,NR_002323,"[24583225, 24373479, 24006935, 22961206, 23346095, 22202438, 24853421, 27791993, 27760046, 27693324, 27658774, 27634385, 27485439, 27460088, 27421138, 27363339, 27362796, 27345398, 27339553, 27339553, 27339553, 27339553, 27339553, 27329359, 27323757, 27261864, 27034068, 26975529, 26913601, 26856330, 26748401, 26499949, 26336870, 26318860, 25366138, 24853421, 24055035, 23725133, 22961206]",Prostatic Neoplasms
35,NR_002323,"[24583225, 24373479, 24006935, 22961206, 23346095, 22202438, 24853421, 27791993, 27760046, 27693324, 27658774, 27634385, 27485439, 27460088, 27421138, 27363339, 27362796, 27345398, 27339553, 27339553, 27339553, 27339553, 27339553, 27329359, 27323757, 27261864, 27034068, 26975529, 26913601, 26856330, 26748401, 26499949, 26336870, 26318860, 25366138, 24853421, 24055035, 23725133, 22961206]",Urinary Bladder Neoplasms
35,NR_002323,"[24583225, 24373479, 24006935, 22961206, 23346095, 22202438, 24853421, 27791993, 27760046, 27693324, 27658774, 27634385, 27485439, 27460088, 27421138, 27363339, 27362796, 27345398, 27339553, 27339553, 27339553, 27339553, 27339553, 27329359, 27323757, 27261864, 27034068, 26975529, 26913601, 26856330, 26748401, 26499949, 26336870, 26318860, 25366138, 24853421, 24055035, 23725133, 22961206]",Urinary Bladder Neoplasms
35,NR_002323,"[24583225, 24373479, 24006935, 22961206, 23346095, 22202438, 24853421, 27791993, 27760046, 27693324, 27658774, 27634385, 27485439, 27460088, 27421138, 27363339, 27362796, 27345398, 27339553, 27339553, 27339553, 27339553, 27339553, 27329359, 27323757, 27261864, 27034068, 26975529, 26913601, 26856330, 26748401, 26499949, 26336870, 26318860, 25366138, 24853421, 24055035, 23725133, 22961206]",Huntington Disease
35,NR_002323,"[24583225, 24373479, 24006935, 22961206, 23346095, 22202438, 24853421, 27791993, 27760046, 27693324, 27658774, 27634385, 27485439, 27460088, 27421138, 27363339, 27362796, 27345398, 27339553, 27339553, 27339553, 27339553, 27339553, 27329359, 27323757, 27261864, 27034068, 26975529, 26913601, 26856330, 26748401, 26499949, 26336870, 26318860, 25366138, 24853421, 24055035, 23725133, 22961206]",Nerve Degeneration
35,NR_002323,"[24583225, 24373479, 24006935, 22961206, 23346095, 22202438, 24853421, 27791993, 27760046, 27693324, 27658774, 27634385, 27485439, 27460088, 27421138, 27363339, 27362796, 27345398, 27339553, 27339553, 27339553, 27339553, 27339553, 27329359, 27323757, 27261864, 27034068, 26975529, 26913601, 26856330, 26748401, 26499949, 26336870, 26318860, 25366138, 24853421, 24055035, 23725133, 22961206]",Diabetic Nephropathies
35,NR_002323,"[24583225, 24373479, 24006935, 22961206, 23346095, 22202438, 24853421, 27791993, 27760046, 27693324, 27658774, 27634385, 27485439, 27460088, 27421138, 27363339, 27362796, 27345398, 27339553, 27339553, 27339553, 27339553, 27339553, 27329359, 27323757, 27261864, 27034068, 26975529, 26913601, 26856330, 26748401, 26499949, 26336870, 26318860, 25366138, 24853421, 24055035, 23725133, 22961206]","Renal Insufficiency, Chronic"
35,NR_002323,"[24583225, 24373479, 24006935, 22961206, 23346095, 22202438, 24853421, 27791993, 27760046, 27693324, 27658774, 27634385, 27485439, 27460088, 27421138, 27363339, 27362796, 27345398, 27339553, 27339553, 27339553, 27339553, 27339553, 27329359, 27323757, 27261864, 27034068, 26975529, 26913601, 26856330, 26748401, 26499949, 26336870, 26318860, 25366138, 24853421, 24055035, 23725133, 22961206]",Neoplasm Metastasis
